,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1,8.00E+06,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,22/08/1986,89,8.1,Wil Wheaton,299174,Stephen King,1986
2,6.00E+06,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,11/06/1986,103,7.8,Matthew Broderick,264740,John Hughes,1986
3,1.50E+07,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,16/05/1986,110,6.9,Tom Cruise,236909,Jim Cash,1986
4,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,18/07/1986,137,8.4,Sigourney Weaver,540152,James Cameron,1986
5,9.00E+06,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,01/08/1986,90,6.9,Joey Cramer,36636,Mark H. Baker,1986
6,6.00E+06,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,06/02/1987,120,8.1,Charlie Sheen,317585,Oliver Stone,1986
7,2.50E+07,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,27/06/1986,101,7.4,David Bowie,102879,Dennis Lee,1986
8,6.00E+06,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,23/10/1986,120,7.8,Isabella Rossellini,146768,David Lynch,1986
9,9.00E+06,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,28/02/1986,96,6.8,Molly Ringwald,60565,John Hughes,1986
10,1.50E+07,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,15/08/1986,96,7.5,Jeff Goldblum,129698,George Langelaan,1986
11,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,26/09/1986,97,6.5,Paul Hogan,79465,Ken Shadie,1986
12,1.60E+07,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,07/03/1986,116,7.2,Christopher Lambert,104860,Gregory Widen,1986
13,6.00E+06,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,28/03/1986,100,6.8,Corey Haim,12228,David Seltzer,1986
14,2.50E+07,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,02/07/1986,99,7.3,Kurt Russell,101678,Gary Goldman,1986
15,1.50E+07,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,15/08/1986,120,7.2,William Petersen,54000,Thomas Harris,1986
16,1.70E+07,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9½ Weeks,R,21/02/1986,117,5.9,Mickey Rourke,31798,Elizabeth McNeill,1986
17,1.00E+07,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,25/07/1986,98,5.4,Emilio Estevez,24881,Stephen King,1986
18,2.50E+07,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,19/12/1986,94,6.9,Rick Moranis,53327,Howard Ashman,1986
19,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,21/11/1986,93,5.9,Charlie Sheen,11635,Mike Marvin,1986
20,3.50E+07,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,01/08/1986,110,4.6,Lea Thompson,36020,Steve Gerber,1986
21,2.00E+06,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,11/04/1986,82,6,Dee Wallace,25517,Domonic Muir,1986
22,1.10E+07,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,13/06/1986,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986
23,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22/08/1986,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986
24,1.50E+07,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,05/12/1986,130,6.8,Clint Eastwood,32954,James Carabatsos,1986
25,2.50E+07,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,26/11/1986,119,7.3,William Shatner,66366,Gene Roddenberry,1986
29,2.50E+07,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12/12/1986,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986
30,1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,08/05/1987,99,7.1,Crispin Glover,12862,Neal Jimenez,1986
31,2.50E+07,L.A. Films,USA,John Landis,Comedy,39246734,¡Three Amigos!,PG,12/12/1986,104,6.4,Steve Martin,57406,Steve Martin,1986
32,2.50E+07,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,23/05/1986,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986
35,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17/10/1986,119,7,Paul Newman,62495,Walter Tevis,1986
38,6.00E+06,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,21/02/1986,97,7.3,Rutger Hauer,36191,Eric Red,1986
39,1.00E+07,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,26/03/1986,91,6.3,Tom Hanks,41278,David Giler,1986
40,3.00E+06,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,01/08/1986,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986
41,2.50E+07,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,26/11/1986,117,6.6,Harrison Ford,23076,Paul Theroux,1986
43,4.00E+06,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,07/11/1986,112,7.1,Gary Oldman,25032,Alex Cox,1986
44,1.00E+07,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,19/12/1986,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986
45,4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,24/10/1986,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986
46,1.80E+07,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,10/10/1986,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986
47,1.90E+07,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,23/05/1986,91,5.7,JoBeth Williams,20669,Mark Victor,1986
48,1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,17/01/1986,82,4.3,Michael Moriarty,7569,Ed Naha,1986
51,111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,07/09/1990,83,7,Michael Rooker,25367,Richard Fire,1986
52,1.80E+07,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,06/06/1986,107,5.6,Kate Capshaw,11484,Clifford Green,1986
53,6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,14/03/1986,107,8,Mia Farrow,56988,Woody Allen,1986
54,1.40E+07,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,02/07/1986,74,7.2,Vincent Price,36539,Peter Young,1986
55,8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,06/06/1986,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986
56,6.00E+06,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,08/08/1986,84,7.3,Orson Welles,33609,Ron Friedman,1986
58,5.00E+06,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,22/08/1986,88,6.8,Jason Lively,16077,Fred Dekker,1986
59,1.20E+07,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,06/06/1986,100,5.5,Karen Black,5878,Richard Blake,1986
61,6.00E+06,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,27/02/1987,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986
63,6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,18/04/1986,111,7,Sean Penn,11607,Elliott Lewitt,1986
67,2.00E+07,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,25/07/1986,108,6.1,Meryl Streep,7570,Nora Ephron,1986
68,1.50E+07,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,17/01/1986,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986
69,1.20E+07,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,14/02/1986,125,5.6,Chuck Norris,15819,James Bruner,1986
75,1.80E+07,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14/03/1986,112,6.2,Michael Keaton,9965,Edwin Blum,1986
78,175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,08/08/1986,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986
80,8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,11/04/1986,109,6.3,Stephen Lang,2297,Leo Garen,1986
83,1.20E+07,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,15/08/1986,88,5.6,John Candy,9040,Brian Grazer,1986
84,1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,30/10/1986,107,7.8,Tom Waits,39456,Jim Jarmusch,1986
85,1.00E+07,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,07/02/1986,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986
88,1.80E+07,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,13/06/1986,117,6.1,John Lithgow,4666,Marshall Brickman,1986
89,5.00E+06,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,28/03/1986,89,6.2,Deborah Foreman,11458,Danilo Bach,1986
90,2.50E+07,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,26/11/1986,94,4.8,Richard Jordan,3397,Walon Green,1986
93,4.00E+07,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,18/07/1986,121,6.1,Walter Matthau,6596,John Brownjohn,1986
95,1.00E+07,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,03/10/1986,104,6.2,Burt Lancaster,5584,James Orr,1986
98,1.20E+07,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,31/01/1986,104,5.9,Robin Williams,5523,Ron Shelton,1986
99,2.00E+06,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,13/03/1987,98,5.7,Todd Allen,4744,Kevin Tenney,1986
100,1.40E+07,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,31/01/1986,103,6.1,Nick Nolte,13569,René Fauchois,1986
101,8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,07/02/1986,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986
105,1.80E+07,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,25/04/1986,115,5.7,Jeff Bridges,3607,Lawrence Block,1986
112,8.00E+06,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,21/11/1986,104,5,Chuck Norris,4752,Robert Gosnell,1986
114,3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,18/07/1986,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986
118,1.50E+07,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,11/07/1986,96,4.9,Robin Williams,5049,Harry Shearer,1986
119,4.00E+07,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,20/06/1986,116,5.9,Robert Redford,8374,Ivan Reitman,1986
122,1.30E+07,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,18/04/1986,100,5.6,Danny DeVito,4573,George Gallo,1986
127,1.70E+07,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,29/08/1986,97,3.1,Sean Penn,4339,John Kohn,1986
128,1.60E+07,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,31/01/1986,111,5.7,Richard Gere,2287,David Himmelstein,1986
130,2.00E+07,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,23/01/1987,105,6.4,Diane Keaton,3079,Beth Henley,1986
134,6.00E+06,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,18/04/1986,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986
140,4.00E+06,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,12/09/1986,104,5.9,Michael Dudikoff,1808,James Booth,1986
146,1.80E+07,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,25/12/1986,108,6.9,Blythe Danner,2720,Neil Simon,1986
158,2.50E+07,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,07/11/1986,127,5.5,Bryan Brown,1340,John Briley,1986
160,1.70E+07,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,13/03/1987,101,5.5,Burt Reynolds,1358,William Goldman,1986
167,1.40E+07,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,02/05/1986,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986
169,3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,29/08/1986,97,4.3,Mike Norris,1509,Renny Harlin,1986
170,1.00E+07,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,02/05/1986,83,4.4,Judd Nelson,792,Ross Macdonald,1986
183,2.00E+06,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,12/12/1986,111,5.9,Victor Love,448,Richard Wesley,1986
200,1.80E+07,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,PG,31/10/1986,100,4.6,Scott McGinnis,183,Thom Keyes,1986
201,1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,R,03/10/1986,86,4.9,David Carradine,489,T.L. Lankford,1986
221,1.60E+07,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,09/10/1987,98,8.1,Cary Elwes,320953,William Goldman,1987
222,1.00E+06,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,18/09/1987,94,7,Andrew Robinson,83209,Clive Barker,1987
223,3.00E+07,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,10/07/1987,116,8.3,Matthew Modine,537826,Gustav Hasford,1987
224,6.00E+06,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,21/08/1987,100,6.9,Patrick Swayze,155978,Eleanor Bergstein,1987
226,1.50E+07,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,12/06/1987,107,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987
227,2.70E+07,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,13/11/1987,101,6.6,Arnold Schwarzenegger,120345,Stephen King,1987
228,22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,24/06/1987,96,7.1,Mel Brooks,146748,Mel Brooks,1987
229,1.30E+07,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,17/07/1987,102,7.5,Peter Weller,196245,Edward Neumeier,1987
230,1.50E+07,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,06/03/1987,110,7.6,Mel Gibson,204328,Shane Black,1987
231,2.50E+07,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,03/06/1987,119,7.9,Kevin Costner,234254,Oscar Fraley,1987
232,3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,13/03/1987,84,7.8,Bruce Campbell,123325,Sam Raimi,1987
233,2.20E+07,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,07/08/1987,106,5.4,Dolph Lundgren,30370,David Odell,1987
234,1.20E+07,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,14/08/1987,82,7.2,Andre Gower,21420,Shane Black,1987
235,1.40E+07,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,18/09/1987,119,6.9,Michael Douglas,60383,James Dearden,1987
236,3.00E+07,Eon Productions,UK,John Glen,Action,51185897,The Living Daylights,PG,31/07/1987,130,6.7,Timothy Dalton,74272,Richard Maibaum,1987
237,1.50E+07,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,11/12/1987,126,7.4,Charlie Sheen,126195,Stanley Weiser,1987
238,3.50E+07,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,25/12/1987,153,7.8,Christian Bale,96566,Tom Stoppard,1987
240,2.20E+07,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,R,12/06/1987,118,6.5,Jack Nicholson,51642,John Updike,1987
242,4500000,New Line Cinema,USA,Chuck Russell,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,R,27/02/1987,96,6.6,Heather Langenkamp,55414,Wes Craven,1987
245,2.30E+07,Universal Pictures,USA,Joseph Sargent,Adventure,20763013,Jaws: The Revenge,PG-13,17/07/1987,89,2.9,Lorraine Gary,33419,Peter Benchley,1987
246,2.50E+07,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,PG,13/02/1987,93,5.7,Sylvester Stallone,40916,Gary Conway,1987
247,3.00E+07,Paramount Pictures,USA,John Hughes,Comedy,49530280,"Planes, Trains & Automobiles",R,25/11/1987,93,7.6,Steve Martin,98897,John Hughes,1987
248,6.00E+06,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,PG-13,17/04/1987,94,7.4,Nicolas Cage,107669,Ethan Coen,1987
249,1.70E+07,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,R,06/03/1987,113,7.3,Mickey Rourke,67453,William Hjortsberg,1987
251,6.00E+06,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,PG,13/02/1987,90,5.8,Andrew McCarthy,24626,Edward Rugoff,1987
253,2.70E+07,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,PG,01/07/1987,120,6.8,Dennis Quaid,45172,Chip Proser,1987
254,1.50E+07,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,PG,15/01/1988,102,7.1,Cher,38600,John Patrick Shanley,1987
255,2.80E+07,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,R,20/05/1987,100,6.5,Eddie Murphy,90969,Danilo Bach,1987
257,2.30E+07,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,PG-13,15/04/1988,163,7.8,John Lone,76408,Mark Peploe,1987
258,1.30E+07,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",R,15/01/1988,121,7.3,Robin Williams,106924,Mitch Markowitz,1987
259,2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,R,18/09/1987,140,7.7,James Wilby,11837,E.M. Forster,1987
260,1.10E+07,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,25/11/1987,102,5.9,Tom Selleck,39544,Coline Serreau,1987
261,3.00E+06,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,R,23/10/1987,102,6.7,Donald Pleasence,28064,John Carpenter,1987
262,6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,PG-13,24/07/1987,108,6.8,Lou Diamond Phillips,22839,Luis Valdez,1987
263,5.00E+06,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,R,1988,94,7,Adrian Pasdar,27485,Kathryn Bigelow,1987
266,1.50E+07,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,R,14/08/1987,114,7.1,Kevin Costner,28684,Kenneth Fearing,1987
271,2.00E+07,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,R,25/12/1987,133,7.2,William Hurt,22802,James L. Brooks,1987
272,2500000,New Century Entertainment Corporation,Canada,Tibor Takács,Fantasy,13539458,Túnel al infierno,PG-13,15/05/1987,85,6,Stephen Dorff,11435,Michael Nankin,1987
273,1.70E+07,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,24/07/1987,90,3.6,Christopher Reeve,35866,Joe Shuster,1987
274,3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,R,01/05/1987,92,6,George Kennedy,17500,Stephen King,1987
275,3.00E+06,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,20/11/1987,95,3.2,Jason Bateman,8905,Jeph Loeb,1987
276,1.20E+07,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,PG,19/06/1987,107,6.6,Steve Martin,34794,Edmond Rostand,1987
277,1.20E+07,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,10/04/1987,111,6.5,Michael J. Fox,24685,Jim Cash,1987
278,2.00E+07,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,26/06/1987,106,5.9,Dan Aykroyd,27387,Dan Aykroyd,1987
280,1.80E+07,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,PG-13,27/03/1987,95,5.9,Kim Basinger,17903,Dale Launer,1987
283,1.00E+06,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,22/08/1987,100,2.7,Anthony Newley,6348,Linda Palmer,1987
284,1.40E+07,Orion Pictures,USA,Danny DeVito,Comedy,57915972,Throw Momma from the Train,PG-13,11/12/1987,88,6.2,Danny DeVito,28550,Stu Silver,1987
288,3.00E+06,Golan-Globus Productions,USA,Barbet Schroeder,Comedy,3221568,Barfly,R,16/10/1987,100,7.3,Mickey Rourke,15647,Charles Bukowski,1987
289,6.00E+06,Universal Pictures,USA,Phil Joanou,Comedy,3685862,Three O'Clock High,PG-13,09/10/1987,97,7.2,Casey Siemaszko,8970,Richard Christian Matheson,1987
292,1.50E+07,Amercent Films,USA,James Toback,Comedy,13290368,The Pick-up Artist,PG-13,18/09/1987,81,5.2,Molly Ringwald,5348,James Toback,1987
293,1.60E+07,Orion Pictures,USA,Woody Allen,Comedy,14792779,Radio Days,PG,30/01/1987,88,7.6,Mia Farrow,26467,Woody Allen,1987
295,3.00E+06,Emshell Producers,USA,John R. Cherry III,Comedy,23509382,Ernest Goes to Camp,PG,22/05/1987,92,5.5,Jim Varney,9526,John R. Cherry III,1987
297,1.70E+07,Columbia Pictures Corporation,USA,Ridley Scott,Crime,10278549,Someone to Watch Over Me,R,09/10/1987,106,6.1,Tom Berenger,7854,Howard Franklin,1987
299,2.90E+07,Universal Pictures,UK,Richard Attenborough,Biography,5899797,Cry Freedom,PG,06/11/1987,157,7.5,Denzel Washington,10692,John Briley,1987
300,6.00E+06,Fourth Protocol,UK,John Mackenzie,Thriller,12423831,The Fourth Protocol,R,28/08/1987,119,6.5,Michael Caine,7532,George Axelrod,1987
301,2.70E+07,Home Box Office (HBO),USA,Hector Babenco,Drama,7393346,Ironweed,R,12/02/1988,143,6.8,Jack Nicholson,6874,William Kennedy,1987
309,5.00E+06,Cannon Group,USA,J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,R,06/11/1987,99,5.3,Charles Bronson,6770,Brian Garfield,1987
310,1.80E+07,Amercent Films,USA,Jonathan Kaplan,Comedy,18532286,Project X,PG,17/04/1987,108,6.1,Matthew Broderick,8879,Lawrence Lasker,1987
313,4.00E+06,Cannon Films,USA,Ruggero Deodato,Fantasy,800000,The Barbarians,R,20/03/1987,87,4.9,David Paul,2538,Alberto Piferi,1987
314,5.50E+07,Columbia Pictures Corporation,USA,Elaine May,Action,14375181,Ishtar,PG-13,15/05/1987,107,4.2,Warren Beatty,9094,Elaine May,1987
315,1.00E+05,Conquering Unicorn,USA,Robert Townsend,Comedy,5228617,Hollywood Shuffle,R,20/03/1987,78,7,Robert Townsend,3009,Robert Townsend,1987
324,2.20E+07,Carolco Entertainment,USA,Walter Hill,Action,11307844,Extreme Prejudice,R,24/04/1987,96,6.6,Nick Nolte,4924,John Milius,1987
325,350000,Cannon Group,USA,Sam Firstenberg,Action,4000000,American Ninja 2: The Confrontation,R,01/05/1987,90,4.8,Michael Dudikoff,6565,Gary Conway,1987
326,4.00E+06,Cinecom Entertainment Group,USA,John Sayles,Drama,1680358,Matewan,PG-13,30/06/1988,135,7.9,Chris Cooper,6198,John Sayles,1987
328,2.40E+07,Columbia Pictures,USA,Paul Weiland,Action,4916871,Leonard Part 6,PG,18/12/1987,85,2.2,Bill Cosby,7387,Jonathan Reynolds,1987
329,5.00E+06,Golan-Globus Productions,USA,Jerry Schatzberg,Crime,1119112,Street Smart,R,20/03/1987,97,6.4,Christopher Reeve,2096,David Freeman,1987
331,9.00E+06,Gladden Entertainment,USA,Michael Cimino,Action,5406879,The Sicilian,R,23/10/1987,115,5.3,Christopher Lambert,3889,Mario Puzo,1987
341,7.00E+06,De Laurentiis Entertainment Group (DEG),USA,Bob Giraldi,Comedy,7019441,Hiding Out,PG-13,06/11/1987,98,6.4,Jon Cryer,2584,Joe Menosky,1987
343,1.00E+07,Orion Pictures,USA,Harley Cokeliss,Action,3060858,Malone,R,01/05/1987,92,5.6,Burt Reynolds,1959,Christopher Frank,1987
346,6.00E+06,"Samuel Goldwyn Company, The",UK,Mike Hodges,Action,1432687,A Prayer for the Dying,R,11/09/1987,107,6.4,Mickey Rourke,3731,Jack Higgins,1987
353,5300000,Columbia Pictures,UK,Michael Radford,Crime,3107551,White Mischief,R,06/05/1988,107,6.3,Sarah Miles,2171,James Fox,1987
354,1.00E+07,Rollins-Joffe Productions,USA,Woody Allen,Drama,486434,September,PG,18/12/1987,83,6.7,Elaine Stritch,7620,Woody Allen,1987
356,3520000,Independent Film Centre,USA,Lance Hool,Action,562187,Steel Dawn,R,31/03/1988,100,5,Patrick Swayze,3860,Doug Lefler,1987
357,1300000,Empire Pictures,USA,Renny Harlin,Crime,354704,Prison,R,08/12/1987,102,5.9,Lane Smith,3019,Irwin Yablans,1987
358,2.50E+07,Warner Bros.,USA,Martin Ritt,Drama,30950002,Nuts,R,11/12/1987,116,6.7,Barbra Streisand,4996,Tom Topor,1987
359,1.10E+07,Bandai Films,USA,Barry Levinson,Comedy,25411386,Tin Men,R,13/03/1987,112,6.5,Richard Dreyfuss,6960,Barry Levinson,1987
361,7500000,De Laurentiis Entertainment Group (DEG),USA,William Friedkin,Drama,796368,Rampage,R,30/10/1992,97,6.3,Michael Biehn,1625,William P. Wood,1987
