,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
5373,2500000,This Is That Productions,USA,James Gunn,Comedy,322157,Super,R,10/06/2011,100,6.8,Rainn Wilson,65689,James Gunn,2010
5376,2.00E+07,Touchstone Pictures,USA,Julie Anne Robinson,Drama,62950384,The Last Song,PG,31/03/2010,100,5.9,Miley Cyrus,66108,Nicholas Sparks,2010
5380,6.00E+07,Constantin Film,Germany,Paul W.S. Anderson,Action,60128566,Resident Evil: Afterlife,R,10/09/2010,96,5.9,Milla Jovovich,143707,Paul W.S. Anderson,2010
5382,1.00E+07,Universal Pictures,USA,John Erick Dowdle,Horror,33583175,Devil,PG-13,17/09/2010,80,6.3,Chris Messina,112284,Brian Nelson,2010
5383,1.90E+07,Mandate Pictures,USA,Josh Gordon,Comedy,27758465,The Switch,PG-13,20/08/2010,100,6.1,Jennifer Aniston,83839,Allan Loeb,2010
5384,4.50E+07,R.P. Productions,France,Roman Polanski,Drama,15541549,The Ghost Writer,PG-13,19/03/2010,128,7.2,Ewan McGregor,140059,Robert Harris,2010
5385,1.50E+08,Universal Pictures,USA,Joe Johnston,Drama,61979680,The Wolfman,R,12/02/2010,103,5.8,Benicio Del Toro,93175,Andrew Kevin Walker,2010
5387,2.00E+07,Screen Gems,USA,John Luessenhop,Action,57744720,Takers,PG-13,27/08/2010,107,6.2,Chris Brown,49828,Peter Allen,2010
5388,4.70E+07,Warner Bros.,USA,Jimmy Hayward,Action,10539414,Jonah Hex,PG-13,18/06/2010,81,4.7,Josh Brolin,48504,Mark Neveldine,2010
5390,3.50E+07,CBS Films,USA,Alan Poul,Comedy,37490007,The Back-up Plan,PG-13,23/04/2010,104,5.3,Jennifer Lopez,43272,Kate Angelo,2010
5391,4.00E+07,Columbia Pictures,USA,Andy Tennant,Action,67061228,The Bounty Hunter,PG-13,19/03/2010,110,5.5,Jennifer Aniston,103868,Sarah Thorp,2010
5392,1.00E+07,River Road Entertainment,USA,Floria Sigismondi,Biography,3571735,The Runaways,R,19/03/2010,106,6.6,Kristen Stewart,41586,Floria Sigismondi,2010
5394,1.00E+07,Rogue Pictures,USA,Colin Strause,Action,21371425,Skyline,PG-13,12/11/2010,97,4.4,Eric Balfour,78787,Joshua Cordes,2010
5395,1.20E+08,Columbia Pictures,USA,James L. Brooks,Comedy,30212620,How Do You Know,PG-13,17/12/2010,100,5.4,Reese Witherspoon,37605,James L. Brooks,2010
5397,7.00E+06,Focus Features,USA,Sofia Coppola,Comedy,1768416,Somewhere,R,21/01/2011,97,6.3,Stephen Dorff,38036,Sofia Coppola,2010
5398,2.00E+07,Miramax,USA,John Madden,Drama,31177548,The Debt,R,31/08/2011,113,6.9,Helen Mirren,57945,Matthew Vaughn,2010
5399,3200000,Olympus Pictures,USA,Mike Mills,Comedy,5790894,Beginners,R,26/08/2011,105,7.2,Ewan McGregor,78833,Mike Mills,2010
5400,7.50E+07,Lionsgate,USA,Robert Luketic,Action,47059963,Killers,PG-13,04/06/2010,100,5.4,Katherine Heigl,77029,Bob DeRosa,2010
5402,3.00E+07,Summit Entertainment,USA,Gary Winick,Adventure,53032453,Letters to Juliet,PG,14/05/2010,100,6.6,Amanda Seyfried,79868,Jose Rivera,2010
5403,5.00E+06,Olympus Pictures,USA,John Cameron Mitchell,Drama,2229058,Rabbit Hole,PG-13,28/01/2011,91,7,Nicole Kidman,42926,David Lindsay-Abaire,2010
5404,9500000,Millennium Films,USA,David Schwimmer,Crime,120016,Trust,R,09/03/2012,106,6.9,Clive Owen,36805,Andy Bellin,2010
5406,5.20E+07,EuropaCorp,France,Pierre Morel,Action,23979741,París en la Mira,R,05/02/2010,92,6.5,John Travolta,102224,Adi Hasak,2010
5408,1.00E+08,Universal Pictures,UK,Paul Greengrass,Action,35053660,Green Zone,R,12/03/2010,115,6.8,Matt Damon,116142,Brian Helgeland,2010
5409,3500000,Focus Features,USA,Lisa Cholodenko,Comedy,20811365,The Kids Are All Right,R,30/07/2010,106,7.1,Annette Bening,115520,Lisa Cholodenko,2010
5410,5.00E+07,Warner Bros.,USA,Clint Eastwood,Drama,32746941,Hereafter,PG-13,22/10/2010,129,6.5,Matt Damon,83345,Peter Morgan,2010
5411,2.80E+07,Relativity Media,USA,Brian Levant,Action,24268828,The Spy Next Door,PG,15/01/2010,94,5.4,Jackie Chan,33070,Jonathan Bernstein,2010
5412,2.00E+07,Focus Features,USA,Anton Corbijn,Crime,35606376,The American,R,01/09/2010,105,6.3,George Clooney,82995,Rowan Joffe,2010
5413,8.00E+06,Magic Light Pictures,UK,Jonathan Lynn,Action,117190,Wild Target,PG-13,18/06/2010,98,6.9,Bill Nighy,31864,Lucinda Coxon,2010
5414,6.00E+06,Sedic International,Japan,Takashi Miike,Action,802524,13 Assassins,R,25/09/2010,141,7.6,Kôji Yakusho,54145,Kaneo Ikegami,2010
5415,8.00E+07,Warner Bros.,USA,Zack Snyder,Animation,55675313,Legend of the Guardians: The Owls of Ga'Hoole,PG,24/09/2010,97,7,Jim Sturgess,69624,John Orloff,2010
5416,2.20E+07,River Road Entertainment,USA,Doug Liman,Biography,9528092,Fair Game,PG-13,03/12/2010,108,6.8,Naomi Watts,40837,Jez Butterworth,2010
5417,3.70E+07,Warner Bros.,USA,Kevin Smith,Action,44875481,Cop Out,R,26/02/2010,107,5.6,Bruce Willis,78157,Robb Cullen,2010
5418,3.00E+07,Summit Entertainment,USA,Jon M. Chu,Drama,42400223,Step Up 3D,PG-13,06/08/2010,107,6.2,Sharni Vinson,50180,Amy Andelson,2010
5419,2.30E+07,Studio Ghibli,Japan,Hiromasa Yonebayashi,Animation,19202743,The Secret World of Arrietty,G,17/02/2012,94,7.6,Bridgit Mendler,59799,Mary Norton,2010
5420,2.00E+07,Screen Gems,USA,Neil LaBute,Comedy,42739347,Death at a Funeral,R,16/04/2010,92,5.7,Chris Rock,38627,Dean Craig,2010
5421,2.50E+07,Miramax,USA,Troy Nixey,Fantasy,24042490,Don't Be Afraid of the Dark,R,26/08/2011,99,5.6,Katie Holmes,42545,Guillermo del Toro,2010
5422,1.20E+07,Dharma Productions,India,Karan Johar,Adventure,4018695,My Name Is Khan,PG-13,12/02/2010,165,8,Shah Rukh Khan,81130,Shibani Bathija,2010
5423,3.20E+07,Universal Pictures,USA,Miguel Sapochnik,Action,13794835,Repo Men,R,19/03/2010,111,6.3,Jude Law,91561,Eric Garcia,2010
5424,2.00E+07,Regency Enterprises,USA,Jason Friedberg,Adventure,36661504,Vampires Suck,PG-13,18/08/2010,82,3.5,Jenn Proske,41062,Jason Friedberg,2010
5425,4.00E+07,Bad Robot,USA,Roger Michell,Comedy,31011732,Morning Glory,PG-13,10/11/2010,100,6.5,Rachel McAdams,62536,Aline Brosh McKenna,2010
5426,1.50E+07,Not specified,UK,John Wells,Drama,4439063,The Company Men,R,11/02/2011,104,6.8,Ben Affleck,38636,John Wells,2010
5428,4.80E+07,Twentieth Century Fox Film Corporation,USA,Michael Lembeck,Comedy,60022256,Tooth Fairy,PG,22/01/2010,101,5,Dwayne Johnson,33336,Lowell Ganz,2010
5429,650000,Glass Eye Pix,USA,Jim Mickle,Drama,18469,Stake Land,R,09/12/2011,98,6.5,Connor Paolo,36801,Nick Damici,2010
5431,3.50E+07,Walt Disney Pictures,USA,Randall Wallace,Biography,59713955,Secretariat,PG,08/10/2010,123,7.2,Diane Lane,22288,Mike Rich,2010
5432,5.00E+05,Realitism Films,France,Quentin Dupieux,Comedy,98017,Rubber,R,10/11/2010,82,5.8,Stephen Spinella,28442,Quentin Dupieux,2010
5434,2.20E+07,Mediapro,USA,Woody Allen,Comedy,3247816,You Will Meet a Tall Dark Stranger,R,22/10/2010,100,6.3,Anthony Hopkins,39014,Woody Allen,2010
5436,1.30E+07,Hero Entertainment,USA,Michael Winterbottom,Crime,214966,The Killer Inside Me,R,17/12/2010,109,6.1,Casey Affleck,30060,John Curran,2010
5437,1.12E+08,Twentieth Century Fox Film Corporation,USA,Rob Letterman,Adventure,42779261,Gulliver's Travels,PG,25/12/2010,85,4.9,Jack Black,56336,Joe Stillman,2010
5438,2.50E+07,Les Productions du Trésor,France,Guillaume Canet,Comedy,206088,Little White Lies,NOT RATED,20/10/2010,134,7.1,François Cluzet,20148,Guillaume Canet,2010
5439,1.00E+07,Broadway Video,USA,Jorma Taccone,Action,8460995,MacGruber,R,21/05/2010,90,5.5,Will Forte,37743,Will Forte,2010
5440,3.00E+06,Paramount Pictures,USA,Tod Williams,Horror,84752907,Paranormal Activity 2,R,22/10/2010,91,5.7,Katie Featherston,87197,Michael R. Perry,2010
5441,1800000,Strike Entertainment,France,Daniel Stamm,Drama,41034350,El último exorcismo,PG-13,27/08/2010,87,5.6,Patrick Fabian,43587,Huck Botko,2010
5442,2.20E+07,Millennium Films,USA,John Curran,Drama,1796024,Stone,R,22/10/2010,105,5.4,Edward Norton,36456,Angus MacLachlan,2010
5443,3.20E+07,New Line Cinema,USA,Nanette Burstein,Comedy,17804299,Going the Distance,R,03/09/2010,100,6.3,Drew Barrymore,52508,Geoff LaTulippe,2010
5444,7.00E+06,"Last Picture Company, The",USA,Spencer Susser,Comedy,382946,Hesher,R,25/06/2011,106,7.1,Joseph Gordon-Levitt,46153,Spencer Susser,2010
5446,8.00E+06,Annapurna Productions,USA,Mitch Glazer,Drama,3669,Passion Play,R,2011,94,5,Mickey Rourke,7540,Mitch Glazer,2010
5448,4.00E+06,The Weinstein Company,USA,Abe Sylvia,Comedy,53630,Dirty Girl,R,07/07/2011,90,6.5,Juno Temple,9432,Abe Sylvia,2010
5449,12500000,Omega Entertainment,USA,Tony Goldwyn,Biography,6783129,Conviction,R,05/11/2010,107,7.2,Hilary Swank,37145,Pamela Gray,2010
5451,2.50E+07,GK Films,USA,William Monahan,Crime,6911,London Boulevard,R,26/11/2010,103,6.2,Colin Farrell,42460,William Monahan,2010
5452,2.50E+07,"American Film Company, The",USA,Robert Redford,Crime,11538204,The Conspirator,PG-13,15/04/2011,122,6.9,Robin Wright,25030,James D. Solomon,2010
5454,2.00E+07,Miramax,USA,Julie Taymor,Comedy,277943,The Tempest,PG-13,07/01/2011,110,5.4,Helen Mirren,6589,Julie Taymor,2010
5455,7.00E+06,Scott Free Productions,USA,Jay Duplass,Comedy,7455447,Cyrus,R,16/07/2010,91,6.3,John C. Reilly,31320,Mark Duplass,2010
